Cơm Hến - Chợ Phú Lộc,"Kiot 01, chợ Phú Lộc,Quận Thanh Khê,Đà Nẵng",7.8,"Quán ăn-Món Việt- Sinh viên, Cặp đôi, Gia đình",06:00 - 11:00,10.000đ -10.000đ
Bé Sang - Bánh Xèo & Nem Lụi,"104 Hồ Quý Ly,Quận Thanh Khê,Đà Nẵng",6.4,"Ăn vặt/vỉa hè-Món Miền Trung- Sinh viên, Cặp đôi, Nhóm hội",11:00 - 20:00,15.000đ -30.000đ
Quán Tâm - Bánh Canh Cá Lóc & Riêu Cua,"58 Dũng Sĩ Thanh Khê,Quận Thanh Khê,Đà Nẵng",7.9,"Quán ăn-Món Miền Trung- Sinh viên, Gia đình",06:00 - 16:00,15.000đ -20.000đ
Quán Liên - Rau Câu Trái Dừa,"175 Hải Phòng, P. Tân Chính,Quận Thanh Khê,Đà Nẵng",6.5,Café/Dessert-Món Việt,08:00 - 21:00,20.000đ -55.000đ
Trà Sữa XingWang Cha - Cù Chính Lan,"203 Cù Chính Lan, P. Hòa Khê,Quận Thanh Khê,Đà Nẵng",8.0,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội-Chi nhánh",07:00 - 22:00,35.000đ -45.000đ
Bún Đậu Nhà Bum - 250 Bế Văn Đàn,"250 Bế Văn Đàn, P. Hòa Khê,Quận Thanh Khê,Đà Nẵng",7.5,"Quán ăn-Hà Nội- Sinh viên, Cặp đôi, Giới văn phòng",11:00 - 15:00,15.000đ -50.000đ
Phở Hà Thành - Hàm Nghi,"129 Hàm Nghi, P. Thạch Gián,Quận Thanh Khê,Đà Nẵng",8.9,"Quán ăn-Hà Nội- Sinh viên, Gia đình, Giới văn phòng",06:00 - 12:00,20.000đ -35.000đ
Đào - Bún Thịt Nướng - Nem Lụi & Bánh Xèo,"79 Huỳnh Ngọc Huệ,Quận Thanh Khê,Đà Nẵng",5.9,"Quán ăn-Món Miền Trung- Sinh viên, Gia đình, Giới văn phòng-Chi nhánh",08:00 - 15:00,15.000đ -45.000đ
Quán Đào - Nhậu Bình Dân,"202 Bế Văn Đàn, P. Chính Gián,Quận Thanh Khê,Đà Nẵng",7.3,"Quán ăn-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",15:30 - 23:59,25.000đ -60.000đ
"Gusto - Trà sữa, Cà Phê & Matcha - 679 Trần Cao Vân","679 Trần Cao Vân,Quận Thanh Khê,Đà Nẵng",7.4,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Cặp đôi, Nhóm hội, Giới văn phòng-Chi nhánh",07:00 - 22:00,17.000đ -25.000đ
Cơm Chay Đà Nẵng 3 - Hàm Nghi,"K35/1 Hàm Nghi, P. Vĩnh Trung,Quận Thanh Khê,Đà Nẵng",6.6,"Nhà hàng-Món Việt- Cặp đôi, Gia đình, Nhóm hội-Chi nhánh",07:00 - 21:00,25.000đ -75.000đ
Quán Min - Lẩu Nướng & Ăn Vặt,"83B Dũng Sĩ Thanh Khê, P. Thanh Khê Tây,Quận Thanh Khê,Đà Nẵng",9.2,"Quán ăn-Món Việt- Sinh viên, Gia đình, Giới văn phòng",17:00 - 23:00,15.000đ -50.000đ
Bún Bò Hạnh - Lý Thái Tổ,"47/23 Lý Thái Tổ, P. Thạc Gián,Quận Thanh Khê,Đà Nẵng",8.3,"Ăn vặt/vỉa hè- Gia đình, Nhóm hội",09:00 - 22:00,8.000đ -8.000đ
Tổ Yến Chưng Nóng Tấn Hưng,"42 Trần Xuân Lê, P. Hòa Khê,Quận Thanh Khê,Đà Nẵng",10.0,"Quán ăn-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",08:00 - 22:00,150.000đ -150.000đ
Quán O'tick - Hải Sản Tươi Sống,"436 Điện Biên Phủ,Quận Thanh Khê,Đà Nẵng",8.2,"Quán nhậu-Món Miền Trung- Cặp đôi, Gia đình, Nhóm hội",,60.000đ -150.000đ
Quán Nhậu Tư Rô,"436 Điện Biên Phủ,Quận Thanh Khê,Đà Nẵng",7.4,"Quán ăn-Món Miền Trung- Gia đình, Nhóm hội, Khách du lịch",10:00 - 23:00,30.000đ -100.000đ
Phá Lấu Mẹt - Mẹ Nhu,"36 Mẹ Nhu, P. Thanh Khê Tây,Quận Thanh Khê,Đà Nẵng",2.0,"Ăn vặt/vỉa hè-Món Việt- Cặp đôi, Gia đình, Nhóm hội-Chi nhánh",15:00 - 21:00,10.000đ -30.000đ
2 Văn - Cháo Lòng & Bánh Hỏi,"106 Phan Thanh, P. Thạc Gián,Quận Thanh Khê,Đà Nẵng",7.9,"Quán ăn-Món Việt- Sinh viên, Gia đình, Giới văn phòng",06:00 - 12:00,10.000đ -20.000đ
Gong Me - Trà Sữa & Ăn Vặt,"Đối Diện 201 Phạm Ngọc Mậu, P. An Khê,Quận Thanh Khê,Đà Nẵng",7.4,Quán ăn,08:00 - 22:00,10.000đ -50.000đ
Minh Mập Quán - Nhậu Bình Dân,"849 - 851 Nguyễn Tất Thành, P. Xuân Hà,Quận Thanh Khê,Đà Nẵng",7.2,"Quán ăn-Món Việt- Gia đình, Nhóm hội",10:00 - 23:00,35.000đ -200.000đ
Cao Lầu & Cháo Vịt Đào,"Phan Thanh,Quận Thanh Khê,Đà Nẵng",6.9,"Quán ăn-Món Việt- Sinh viên, Cặp đôi, Gia đình",14:00 - 22:00,15.000đ -25.000đ
Sâm Bí Đao Hạt Chia Chiki - Lê Độ,"163 Lê Độ, P. Chính Gián,Quận Thanh Khê,Đà Nẵng",7.3,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Cặp đôi, Nhóm hội-Chi nhánh",07:30 - 22:30,10.000đ -20.000đ
Mjha - Dừa Dầm Trân Châu,"170 Lê Độ, P. Chính Gián,Quận Thanh Khê,Đà Nẵng",8.3,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Cặp đôi, Gia đình, Nhóm hội",09:00 - 21:00,22.000đ -22.000đ
Nờ Cafe & Tea - Cà phê muối- Lê Thị Xuyến,"20 Lê Thị Xuyến, P. Chính Gián,Quận Thanh Khê,Đà Nẵng",9.5,"Café/Dessert-Món Việt- Gia đình, Nhóm hội, Giới văn phòng-Chi nhánh",06:30 - 22:00,5.000đ -35.000đ
Ốc Bà Mỹ 2 - Hoàng Hoa Thám,"47 Hoàng Hoa Thám, P. Tân Chính,Quận Thanh Khê,Đà Nẵng",7.3,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Gia đình, Nhóm hội",14:30 - 23:00,20.000đ -40.000đ
Sài Gòn Cay - Nhậu Bình Dân,"289 Hải Phòng,Quận Thanh Khê,Đà Nẵng",7.0,"Quán ăn,Quán nhậu-Món Việt- Sinh viên, Nhóm hội, Giới văn phòng",16:00 - 22:30,35.000đ -165.000đ
Tiệm Trà Lemoon - Trà Chanh - Phan Thanh,"2 Phan Thanh,Quận Thanh Khê,Đà Nẵng",9.6,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Cặp đôi, Gia đình, Nhóm hội",09:00 - 22:00,4.000đ -30.000đ
Tiệm Sữa Đậu & Bánh Mì - Quỳnh Trúc,"304/223/6B Nguyễn Phước Nguyên, P. An Khê,Quận Thanh Khê,Đà Nẵng",8.6,"Quán ăn-Món Việt- Cặp đôi, Gia đình, Nhóm hội-Chi nhánh",07:00 - 18:00,
Hai Trí - Nhà Hàng Sân Vườn,"702 Điện Biên Phủ,Quận Thanh Khê,Đà Nẵng",6.2,"Nhà hàng-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",09:00 - 22:30,35.000đ -250.000đ
Chè 129,"129 Phan Thanh, P. Thạc Gián,Quận Thanh Khê,Đà Nẵng",8.4,"Ăn vặt/vỉa hè-Tây Bắc,Hà Nội,Nam Định- Sinh viên, Gia đình",09:00 - 13:00,6.000đ -6.000đ
Chói's Kitchen - Món Ăn Hàn Quốc - Hoàng Hoa Thám,"2 Hoàng Hoa Thám, P. Tân Chính,Quận Thanh Khê,Đà Nẵng",7.0,"Quán ăn-Món Hàn- Cặp đôi, Gia đình, Giới văn phòng-Chi nhánh",10:00 - 13:30,25.000đ -30.000đ
Hẻm 34 - Cháo Quẩy & Ăn Vặt - Kỳ Đồng,"234 Kỳ Đồng, P. Thanh Khê Đông,Quận Thanh Khê,Đà Nẵng",10.0,Quán ăn-Chi nhánh,14:30 - 22:00,10.000đ -30.000đ
Na's Crush - Ở Đây Có Món Ngon,"22 Hoàng Hoa Thám, P. Tân Chính,Quận Thanh Khê,Đà Nẵng",9.4,"Quán ăn-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",09:00 - 21:00,40.000đ -70.000đ
Ốc Và Lẩu 62,"126 Hàm Nghi, P. Thạc Gián,Quận Thanh Khê,Đà Nẵng",9.8,Quán ăn-Món Việt,08:00 - 22:00,50.000đ -120.000đ
Bà Đào - Nhậu Bình Dân,"02 Bế Văn Đàn,Quận Thanh Khê,Đà Nẵng",7.0,"Quán nhậu-Món Miền Trung- Cặp đôi, Gia đình, Nhóm hội",19:00 - 23:30,20.000đ -60.000đ
Sữa Nguyên Hảo,"217 Lê Đình Lý,Quận Thanh Khê,Đà Nẵng",7.9,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Gia đình, Nhóm hội-Chi nhánh",06:00 - 11:00,10.000đ -10.000đ
Nhớ - Bún Đậu Mắm Tôm,"131/12 Lý Thái Tổ, P. Thạc Gián,Quận Thanh Khê,Đà Nẵng",7.2,"Quán ăn-Món Bắc- Cặp đôi, Gia đình, Nhóm hội-Chi nhánh",10:30 - 14:00,20.000đ -45.000đ
Bánh Tráng Tắc Ớt,"63 Đặng Thai Mai, P. Thạc Gián,Quận Thanh Khê,Đà Nẵng",9.1,"Shop Online-Miền Tây- Sinh viên, Nhóm hội, Giới văn phòng-Chi nhánh",08:00 - 22:00,10.000đ -40.000đ
Quán Ánh - Bún Bò Huế,"111 Hà Huy Tập,Quận Thanh Khê,Đà Nẵng",5.3,"Quán ăn-Món Huế- Cặp đôi, Gia đình, Nhóm hội",17:00 - 23:00,20.000đ -30.000đ
Bánh Tráng Thịt Heo Trần - Hải Phòng,"300 Hải Phòng,Quận Thanh Khê,Đà Nẵng",7.3,"Nhà hàng-Món Miền Trung- Gia đình, Giới văn phòng, Khách du lịch-Chi nhánh",09:00 - 21:00,70.000đ -165.000đ
Cơm Gà Cấp Tiến - Nguyễn Hoàng,"190 Nguyễn Hoàng,Quận Thanh Khê,Đà Nẵng",6.9,"Quán ăn-Món Miền Trung- Cặp đôi, Gia đình, Giới văn phòng-Chi nhánh",10:00 - 23:00,20.000đ -55.000đ
KAORI TEA & MILK TEA - Trà Sữa Kem Trứng - Hùng Vương,"289 Hùng Vương, P. Vĩnh Trung,Quận Thanh Khê,Đà Nẵng",10.0,"Café/Dessert-Đài Loan- Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng, Trẻ em",08:00 - 22:00,
Cơm Trưa Quán Á - Bún Riêu - Điểm Tâm,"113 Mẹ Nhu, P. Thanh Khê Tây,Quận Thanh Khê,Đà Nẵng",7.6,"Quán ăn-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",06:00 - 13:00,35.000đ -155.000đ
Mỳ Quảng Cô Trinh - Nguyễn Tri Phương,"73 Nguyễn Tri Phương, P. Thạc Gián,Quận Thanh Khê,Đà Nẵng",9.4,Quán ăn,06:00 - 19:00,20.000đ -30.000đ
Cơm Gà Huy Mập Hà Nội - Lý Thái Tông,"49 Lý Thái Tông, P. Thanh Khê Tây,Quận Thanh Khê,Đà Nẵng",9.0,"Quán ăn-Món Việt- Gia đình, Nhóm hội, Giới văn phòng-Chi nhánh",09:00 - 22:00,25.000đ -145.000đ
Đồng Tiến Bakery - Hà Huy Tập,"116 Hà Huy Tập,Quận Thanh Khê,Đà Nẵng",8.4,Tiệm bánh-Món Việt-Chi nhánh,05:30 - 22:30,20.000đ -110.000đ
O Tâm - Bún Bò Gốc Huế,"1 Phạm Nhữ Tăng, P. Hòa Khê,Quận Thanh Khê,Đà Nẵng",8.8,"Quán ăn-Món Huế- Cặp đôi, Gia đình, Nhóm hội",06:00 - 12:00,20.000đ -30.000đ
Mì Quảng Mỹ Sơn - Điện Biên Phủ,"549 Điện Biên Phủ, P. Thanh Khê Đông,Quận Thanh Khê,Đà Nẵng",3.4,"Quán ăn-Món Miền Trung- Gia đình, Nhóm hội, Giới văn phòng",06:00 - 22:00,20.000đ -30.000đ
Mặp - Trà Sữa & Kem Trứng - Nguyễn Đức Trung,"49 Nguyễn Đức Trung, P. Thanh Khê Đông,Quận Thanh Khê,Đà Nẵng",6.8,Café/Dessert-Món Miền Trung- Sinh viên,06:00 - 22:00,
Quán Liên - Bún Thịt Nướng,"Đối Diện 04 Thái Thị Bôi, P. Chính Gián,Quận Thanh Khê,Đà Nẵng",9.7,"Quán ăn-Món Việt- Cặp đôi, Gia đình, Nhóm hội",15:00 - 22:00,7.000đ -25.000đ
Hà Tồ - Bún Cá Cay Hải Phòng,"49 Đặng Thai Mai, P. Thạc Gián,Quận Thanh Khê,Đà Nẵng",8.4,"Quán ăn-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",06:00 - 13:00,25.000đ -30.000đ
Ẩm Thực Chay Ý Thiên,"91 Ông Ích Khiêm, P. Tam Thuận,Quận Thanh Khê,Đà Nẵng",3.4,Ăn chay,06:00 - 13:00,20.000đ -220.000đ
Bún Bò Huế O Lành,"145 Hà Huy Tập, P. Hòa Khê,Quận Thanh Khê,Đà Nẵng",7.4,Quán ăn-Món Huế- Gia đình,06:00 - 10:00,15.000đ -30.000đ
Milo Dầm Cô Thân - Trần Cao Vân,"363 Trần Cao Vân, P. Thanh Khê,Quận Thanh Khê,Đà Nẵng",9.6,Café/Dessert,09:00 - 23:59,12.000đ -40.000đ
Cơm Gà Tam Kỳ - Mr. Nam - Trần Cao Vân,"K435/25 Trần Cao Vân,Quận Thanh Khê,Đà Nẵng",9.4,"Nhà hàng,Giao cơm văn phòng-Món Việt,Món Á- Cặp đôi, Gia đình, Giới văn phòng, Giới Manager, Khách du lịch",09:00 - 22:00,35.000đ -65.000đ
Trứng Vịt & Trứng Cút Lộn - Dũng Sĩ Thanh Khê,"102 Dũng Sĩ Thanh Khê,Quận Thanh Khê,Đà Nẵng",7.8,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Gia đình, Giới văn phòng",18:00 - 22:00,2.000đ -6.000đ
Chicken Milktea,"17/2 Lý Thái Tổ, P. Thạc Gián,Quận Thanh Khê,Đà Nẵng",7.1,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Cặp đôi, Nhóm hội",10:30 - 22:00,15.000đ -20.000đ
Quán Chay Liên Hương,"204/7 Hải Phòng,Quận Thanh Khê,Đà Nẵng",10.0,"Ăn chay-Món Việt- Sinh viên, Gia đình, Giới văn phòng",06:00 - 20:00,15.000đ -80.000đ
Bánh Canh Dì Xê,"236A Hải Phòng, P. Tam Thuận,Quận Thanh Khê,Đà Nẵng",8.5,"Quán ăn-Món Việt- Sinh viên, Nhóm hội, Giới văn phòng",14:00 - 18:00,10.000đ -15.000đ
Ông Để - Bánh Mì Thịt Nướng,"214 Nguyễn Văn Linh, P. Thạc Gián,Quận Thanh Khê,Đà Nẵng",8.0,"Ăn vặt/vỉa hè-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",18:00 - 23:00,20.000đ -25.000đ
Bún Mắm - Đỗ Quang,"66 Đỗ Quang, P. Vĩnh Trung,Quận Thanh Khê,Đà Nẵng",7.8,"Ăn vặt/vỉa hè-Món Miền Trung- Sinh viên, Gia đình, Giới văn phòng",14:30 - 18:30,20.000đ -30.000đ
Điểm Tâm La Ký,"06 Phan Thanh, P. Thạc Gián,Quận Thanh Khê,Đà Nẵng",8.0,"Quán ăn-Món Miền Trung- Cặp đôi, Gia đình, Nhóm hội",06:00 - 10:30,15.000đ -32.000đ
Bánh Căn Loan Nguyễn,"274 Hải Phòng, P. Tam Thuận,Quận Thanh Khê,Đà Nẵng",8.4,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Gia đình, Nhóm hội",15:00 - 21:00,15.000đ -20.000đ
Cô Mai - Bánh Bèo - Ít - Ram & Lọc,"Đầu kiệt 20 Hoàng Hoa Thám, P. Tân Chính,Quận Thanh Khê,Đà Nẵng",7.8,"Quán ăn-Món Việt- Gia đình, Nhóm hội",14:00 - 18:00,10.000đ -25.000đ
Bánh Tráng Bé Tí,"Hà Huy Tập,Quận Thanh Khê,Đà Nẵng",4.2,"Ăn vặt/vỉa hè-Món Quảng- Sinh viên, Gia đình, Nhóm hội",16:00 - 22:00,10.000đ -30.000đ
Đồng Tiến Bakery - Hoàng Hoa Thám,"23 Hoàng Hoa Thám, P. Chính Gián,Quận Thanh Khê,Đà Nẵng",7.0,"Tiệm bánh-Món Việt- Sinh viên, Gia đình, Giới văn phòng-Chi nhánh",05:30 - 22:30,10.000đ -300.000đ
High5 Coffee - Điện Biên Phủ,"436 Điện Biên Phủ, P. Thanh Khê Đông,Quận Thanh Khê,Đà Nẵng",6.0,"Café/Dessert-Món Việt- Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Trẻ em-Chi nhánh",06:00 - 22:00,15.000đ -30.000đ
Bánh Mì Ốp La & Heo Quay - Quang Dũng,"43 Quang Dũng,Quận Thanh Khê,Đà Nẵng",7.5,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Gia đình, Giới văn phòng",06:00 - 10:00,10.000đ -20.000đ
Kichi Kichi Lẩu Băng Chuyền - Big C Đà Nẵng,"Big C Đà Nẵng, 255 - 257 Hùng Vương, P. Vĩnh Trung,Quận Thanh Khê,Đà Nẵng",9.3,"Nhà hàng-Món Nhật- Gia đình, Nhóm hội, Giới văn phòng-Chi nhánh",10:00 - 22:00,29.000đ -300.000đ
Xôi & Sữa Đậu Nành - Điện Biên Phủ,"478 Điện Biên Phủ,Quận Thanh Khê,Đà Nẵng",9.2,"Ăn vặt/vỉa hè-Món Việt- Cặp đôi, Nhóm hội, Khách du lịch",06:00 - 10:00,5.000đ -15.000đ
Tiệm Cơm Chú Bìn - Cơm Gà Xối Mỡ - Lý Thái Tổ,"69/45 Lý Thái Tổ, P. Thạc Gián,Quận Thanh Khê,Đà Nẵng",7.8,"Quán ăn-Món Việt- Sinh viên, Gia đình, Nhóm hội",10:00 - 20:00,5.000đ -50.000đ
Sữa Chua Trân Châu Hạ Long - Hà Huy Tập,"119 Hà Huy Tập, P. Hòa Khê,Quận Thanh Khê,Đà Nẵng",8.4,"Café/Dessert-Món Việt- Gia đình, Nhóm hội, Giới văn phòng-Chi nhánh",08:00 - 22:30,20.000đ -35.000đ
HaNa - Chân Gà Hầm Mật Ong,"539 Trần Cao Vân,Quận Thanh Khê,Đà Nẵng",8.2,"Ăn vặt/vỉa hè-Món Việt- Cặp đôi, Gia đình, Nhóm hội",17:00 - 22:00,10.000đ -20.000đ
Cơm Gà Tam Kỳ - Phạm Văn Nghị,"10/6 Phạm Văn Nghị, P. Thạc Gián,Quận Thanh Khê,Đà Nẵng",9.4,"Quán ăn-Món Miền Trung- Sinh viên, Gia đình, Giới văn phòng",10:00 - 20:00,15.000đ -20.000đ
Samdi - Không Gian Xưa,"402 - 404 Điện Biên Phủ,Quận Thanh Khê,Đà Nẵng",7.7,"Nhà hàng,Café/Dessert-Món Việt- Cặp đôi, Gia đình, Giới văn phòng, Giới Manager-Chi nhánh",07:00 - 22:00,20.000đ -220.000đ
Bún Mộc Nguyên,"342 Hùng Vương,Quận Thanh Khê,Đà Nẵng",8.0,"Quán ăn-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",08:00 - 22:00,5.000đ -25.000đ
House Coffee - Pizza Takeaway,"142 Nguyễn Đức Trung,Quận Thanh Khê,Đà Nẵng",7.2,"Café/Dessert-Món Việt,Ý- Sinh viên, Gia đình, Giới văn phòng",07:00 - 22:30,10.000đ -70.000đ
Hoàng Linh Đan - Ẩm Thực Thái,"431 Nguyễn Tất Thành,Quận Thanh Khê,Đà Nẵng",7.6,"Nhà hàng-Món Thái- Gia đình, Nhóm hội, Giới văn phòng",09:00 - 20:00,20.000đ -220.000đ
Mì Quảng Gà Quê Tam Kỳ,"51 Thái Thị Bôi, P. Chính Gián,Quận Thanh Khê,Đà Nẵng",8.0,"Quán ăn-Món Quảng- Gia đình, Nhóm hội",06:00 - 10:00,15.000đ -20.000đ
Cơm Jins - Cơm Online Đà Nẵng,"19 Thuận An 2,Quận Thanh Khê,Đà Nẵng",7.4,"Quán ăn,Giao cơm văn phòng-Món Việt- Giới văn phòng",09:30 - 13:00,20.000đ -30.000đ
Cơm Bình Dân - Trần Cao Vân,"428 Trần Cao Vân,Quận Thanh Khê,Đà Nẵng",8.4,"Quán ăn-Món Việt- Sinh viên, Gia đình, Nhóm hội",10:00 - 13:30,15.000đ -20.000đ
Bò Né Vũ Gia,"426 Trần Cao Vân, P. Xuân Hà,Quận Thanh Khê,Đà Nẵng",8.4,"Quán ăn-Món Việt- Sinh viên, Gia đình, Giới văn phòng",05:30 - 10:00,10.000đ -50.000đ
Nirvana - Trà Sữa Nhà Làm,"311 (số mới) Nguyễn Văn Linh, P. Thạc Gián,Quận Thanh Khê,Đà Nẵng",6.6,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Nhóm hội, Giới văn phòng",16:00 - 22:30,15.000đ -40.000đ
Tiệm Cà Phê Mochi - Cà Phê Muối & Matcha,"379/1 Trần Cao Vân, P. Xuân Hà,Quận Thanh Khê,Đà Nẵng",8.9,Quán ăn,05:30 - 17:30,12.000đ -32.000đ
Axa Coffee - Đồ Uống - Bế Văn Đàn,"203 Bế Văn Đàn,Quận Thanh Khê,Đà Nẵng",7.8,"Café/Dessert-Món Việt- Sinh viên, Gia đình, Nhóm hội, Giới văn phòng",07:00 - 19:00,15.000đ -35.000đ
Bánh Canh Xứ Huế,"478A Điện Biên Phủ,Quận Thanh Khê,Đà Nẵng",6.9,"Quán ăn-Món Huế- Sinh viên, Gia đình, Nhóm hội",07:00 - 22:00,15.000đ -20.000đ
Bánh Trái Cây Đậu Xanh - Shop Online,"466/6 Nguyễn Tri Phương,Quận Thanh Khê,Đà Nẵng",8.1,"Shop Online-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",08:00 - 22:00,50.000đ -100.000đ
Bánh Chuối Chiên - Bánh Bao,"Ngã Tư Hùng Vương - Ông Ích Khiêm,Quận Thanh Khê,Đà Nẵng",7.5,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Cặp đôi, Gia đình",15:00 - 22:00,2.000đ -5.000đ
Bếp Mẹ Milk - Takoyaki,"36/11 Phạm Văn Nghị, P. Vĩnh Trung,Quận Thanh Khê,Đà Nẵng",7.7,"Quán ăn-Món Việt,Món Nhật- Cặp đôi, Gia đình, Nhóm hội",14:00 - 22:00,25.000đ -50.000đ
Ăn Vặt & Trà Sữa Cô Thủy,"68/2 Lê Đình Lý, P. Vĩnh Trung,Quận Thanh Khê,Đà Nẵng",6.8,Ăn vặt/vỉa hè-Món Việt- Nhóm hội-Chi nhánh,07:00 - 22:00,10.000đ -20.000đ
Bà Lệ - Bún Mắm - Điện Biên Phủ,"K96/9 Điện Biên Phủ,Quận Thanh Khê,Đà Nẵng",8.8,"Quán ăn-Món Miền Trung- Sinh viên, Cặp đôi, Gia đình, Giới văn phòng, Khách du lịch",06:00 - 15:00,5.000đ -35.000đ
Cajun - Ẩm Thực Mỹ - Thái Thị Bôi,"27 Thái Thị Bôi,Quận Thanh Khê,Đà Nẵng",9.0,"Nhà hàng-Mỹ- Cặp đôi, Gia đình, Nhóm hội-Chi nhánh",15:30 - 21:30,20.000đ -300.000đ
Tiệm Ăn Gạo - Hà Huy Tập,"176 Hà Huy Tập,Quận Thanh Khê,Đà Nẵng",8.5,"Quán ăn-Món Việt- Gia đình, Nhóm hội, Giới văn phòng-Chi nhánh",07:00 - 22:00,25.000đ -50.000đ
Cơm Gà Ngọc,"176 Hà Huy Tập,Quận Thanh Khê,Đà Nẵng",9.3,"Quán ăn-Món Việt- Sinh viên, Gia đình, Nhóm hội",10:30 - 21:00,20.000đ -30.000đ
Xôi Út Gạo 1975 - Hà Huy Tập,"15K Hà Huy Tập, P. Xuân Hà,Quận Thanh Khê,Đà Nẵng",9.2,"Quán ăn-Món Miền Trung- Cặp đôi, Gia đình, Nhóm hội-Chi nhánh",06:00 - 09:30,20.000đ -50.000đ
Đồng Tiến Bakery - Trường Chinh,"435 Trường Chinh, P. An Khê,Quận Thanh Khê,Đà Nẵng",7.0,"Tiệm bánh-Món Việt- Sinh viên, Gia đình, Giới văn phòng-Chi nhánh",05:30 - 22:30,10.000đ -300.000đ
Tearex Milktea & Coffee - 355 Điện Biên Phủ,"355 Điện Biên Phủ,Quận Thanh Khê,Đà Nẵng",7.3,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Cặp đôi, Nhóm hội-Chi nhánh",18:00 - 22:00,10.000đ -25.000đ
Tiệm Ăn Thanh Nga - Ẩm Thực Miền Bắc,"75A Cù Chính Lan,Quận Thanh Khê,Đà Nẵng",8.2,"Quán ăn-Hà Nội- Gia đình, Giới văn phòng",06:00 - 14:00,15.000đ -25.000đ
New Space - Cafe & Các Món Nhậu,"457 Điện Biên Phủ,Quận Thanh Khê,Đà Nẵng",7.6,"Café/Dessert,Quán nhậu-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",06:30 - 23:00,25.000đ -185.000đ
Bánh Tráng Nướng Cô Ty,"Lê Ngô Cát, P. Vĩnh Trung,Quận Thanh Khê,Đà Nẵng",8.2,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Nhóm hội, Giới văn phòng",15:00 - 21:00,6.000đ -6.000đ
Đồng Tiến Bakery - Điện Biên Phủ,"575 Điện Biên Phủ, P. Hòa Khê,Quận Thanh Khê,Đà Nẵng",7.5,Tiệm bánh-Món Việt-Chi nhánh,05:30 - 22:30,20.000đ -110.000đ
"Lò Bánh Ngon Gia Truyền Đà Nẵng - Bánh Xoài, Bánh Dừa & Bánh Trứng - Thái Thị Bôi","K122/06B Thái Thị Bôi, P. Chính Gián,Quận Thanh Khê,Đà Nẵng",10.0,"Tiệm bánh,Tiệc tận nơi-Món Việt- Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng, Giới Manager, Khách du lịch, Trẻ em",07:00 - 22:00,
Bánh Tráng Nướng Đà Lạt NTP,"78 Phan Thanh,Quận Thanh Khê,Đà Nẵng",7.1,"Ăn vặt/vỉa hè-Đà Lạt- Sinh viên, Gia đình, Giới văn phòng",16:00 - 22:00,10.000đ -20.000đ
Hủ Tiếu Đêm - Phạm Nhữ Tăng,"3 Phạm Nhữ Tăng,Quận Thanh Khê,Đà Nẵng",7.8,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Gia đình, Giới văn phòng",18:00 - 23:00,10.000đ -20.000đ
Tré Trộn Tam Giác - Ông Ích Khiêm,"164 Ông Ích Khiêm, P. Xuân Hà,Quận Thanh Khê,Đà Nẵng",5.0,"Shop Online-Món Việt- Sinh viên, Gia đình, Giới văn phòng-Chi nhánh",10:00 - 22:00,25.000đ -50.000đ
Bắp Nướng - Ngã Tư Chợ Cồn,"Ngã Tư Chợ Cồn,Quận Thanh Khê,Đà Nẵng",6.5,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Gia đình, Giới văn phòng",16:00 - 23:00,10.000đ -20.000đ
Bếp Phố - Bún Thịt Xào - Shop Online,"172/23 Trần Cao Vân, P. Tâm Thuận,Quận Thanh Khê,Đà Nẵng",9.8,"Quán ăn-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",09:00 - 18:00,15.000đ -85.000đ
