Tên,Link,Địa chỉ,Đánh giá,Số review,Mô tả ngắn,Giờ mở cửa,Giá tiền,Bình luận 1,Bình luận 2,Bình luận 3
Quán Min - Lẩu Nướng & Ăn Vặt,https://www.foody.vn/da-nang/an-vat-tra-sua-min-shop-online,"83B Dũng Sĩ Thanh Khê, P. Thanh Khê Tây,Quận Thanh Khê,Đà Nẵng",9.2,4.0,"Quán ăn-Món Việt- Sinh viên, Gia đình, Giới văn phòng",17:00 - 23:00,15.000đ -50.000đ,"10Ngon tuyệt cú mèoQuán chuẩn cho sinh viên & người đi làm luôn
Ngon - bổ - rẻ. Đủ thứ món trên trời dưới đất từ ăn no đến ăn vặt.
Nhân viên nhiệt tình, vui vẻ, chu đáo. Đồ ăn thì khỏi phải nói, lâu lâu mới tìm được một quá khá là ok như vậy.
Chúc quán luôn buôn may bán đắt.
Sẽ ủng hộ dài dài ❤️❤️...Xem thêm","9.4Quán Min - Bánh Ướt Lòng Gà & Ăn Vặt- Món ăn có chút ngọt ngọt - chua chua - cay cay >rất hợp vị với tụi bạn mình
- Trà sữa thạch nhà làm, trân châu tự nấu nên rất hợp vs
- Giá cả lại phải chăng, hợp với SV
- Không gian rộng rãi, hơi nóng 1 chút xíu nhưng bù lại món ăn rất ngon nên mình cảm thấy vẫn tốt
Bonus thêm anh chủ quán nói chuyện có duyên nên mình rất thích. Sẽ ủng hộ dài dài..Áhihi...Xem thêm","9.4Quán Min - Bánh Ướt Lòng Gà & Ăn VặtQuán nhỏ tại khu sinh viên nên giá cũng sinh viên luôn 👍👍 So với mặt bằng chung thì ngoài chất lượng món ăn ra, mỗi món mình thấy quán cho siêu nhiều, lần nào cũng ăn no nê mới về ^^ Must try chân gà sả tắc, ốc bưu xào với bánh ướt lòng gà nha 😍😍...Xem thêm"
Bún Bò Hạnh - Lý Thái Tổ,https://www.foody.vn/da-nang/bun-bo-hanh-ly-thai-to,"47/23 Lý Thái Tổ, P. Thạc Gián,Quận Thanh Khê,Đà Nẵng",8.3,35.0,"Ăn vặt/vỉa hè- Gia đình, Nhóm hội",09:00 - 22:00,8.000đ -8.000đ,"9.6Trà sữa mà đầy ú nụ thạch luônBánh flan của bạn này ngon lắm nha. Ko giống những quán khác . Trà sữa thơm - béo, ko bị ngọt lịm. Nói chung rất ngon....Xem thêm",9.8Bánh cá ngon - bột giòn .Bột bánh ở quán này giòn và mềm. Ko như chỗ hắn bị dai và cứng. Bán ngay trong hẻm K47/23***. Ly trà sữa trân châu có 10k nữa. Sẽ quay lại ủng hộ chị chủ tiếp !...Xem thêm,"9.6Ngon - béo - lạSữa chua trân châu đường đen quá rẻ mà ngon mê ly..! Ly có 15k mà dc mix đủ thứ topping. 
Quán này ra món nào mới là mgon món đấy . Ko chê vào đâu dc. 
Dchi : 47/23***....Xem thêm"
Tổ Yến Chưng Nóng Tấn Hưng,https://www.foody.vn/da-nang/to-yen-chung-nong-tan-hung,"42 Trần Xuân Lê, P. Hòa Khê,Quận Thanh Khê,Đà Nẵng",10.0,1.0,"Quán ăn-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",08:00 - 22:00,150.000đ -150.000đ,"10Yến chất lượng, rất ngonChất lượng tốt, yến ngon...Xem thêm",Sửacommon_delete...Xem thêm,...Xem thêm
Quán O'tick - Hải Sản Tươi Sống,https://www.foody.vn/da-nang/quan-o-tick-hai-san-tuoi-song,"436 Điện Biên Phủ,Quận Thanh Khê,Đà Nẵng",8.2,1.0,"Quán nhậu-Món Miền Trung- Cặp đôi, Gia đình, Nhóm hội",,60.000đ -150.000đ,"8.2Đồ ăn ngon, không gian thoáng!Sắp tới sinh nhật bạn nên cả nhóm mời party trước, nếu hông tới lúc đó lỡ mất cuộc vui. 
Chọn quán này vì được cái gần nhà bạn và nằm ở vị trí ngã 3 Điện Biên Phủ và Nguyễn Đức Trung có view rất đẹp. 
Quán mở có không gian thoáng mát. 
Thực đơn đa dạng - không chỉ có hải sản mà có cả món thịt. 
Giá cả vừa phải, bình dân. 
Đồ ăn ngon miếng nêm nếm vừa phải. 
Nhân viên nhiệt tình dễ thương. 
Tóm lại là 1 nơi rất đáng thưởng thức và lần sau sẽ đến nữa....Xem thêm",Sửacommon_delete...Xem thêm,...Xem thêm
Quán Nhậu Tư Rô,https://www.foody.vn/da-nang/quan-nhau-tu-ro,"436 Điện Biên Phủ,Quận Thanh Khê,Đà Nẵng",7.4,1.0,"Quán ăn-Món Miền Trung- Gia đình, Nhóm hội, Khách du lịch",10:00 - 23:00,30.000đ -100.000đ,"7.4Có nhiều món lạ của Tiên PhướcQuán gần nhà nhưng chưa vào bao giờ, hôm qua đi chơi gặp trời mưa nên ghé núp mưa.
Quán khá được về khoản đồ ăn nha,có nhiều món lạ đặc biệt là món rừng và sông của Tiên Phước - Quảng Nam.
Nhân viên khá thân thiện .
Rất thích hợp để đổi điểm ăn nhậu trong mùa mưa này ;)...Xem thêm",Sửacommon_delete...Xem thêm,...Xem thêm
Phá Lấu Mẹt - Mẹ Nhu,https://www.foody.vn/da-nang/pha-lau-met-me-nhu,"36 Mẹ Nhu, P. Thanh Khê Tây,Quận Thanh Khê,Đà Nẵng",2.0,1.0,"Ăn vặt/vỉa hè-Món Việt- Cặp đôi, Gia đình, Nhóm hội-Chi nhánh",15:00 - 21:00,10.000đ -30.000đ,"2.0TTưởng ko tệ mà tệ ko tưởng!!! Đặt 1 đường mang 1 nẻo, mình ko thương shipper chạy đường mưa gió thì chắc thực sự mình bỏ rồi....Xem thêm",Sửacommon_delete...Xem thêm,...Xem thêm
2 Văn - Cháo Lòng & Bánh Hỏi,https://www.foody.vn/da-nang/2-van-chao-long-banh-hoi,"106 Phan Thanh, P. Thạc Gián,Quận Thanh Khê,Đà Nẵng",7.9,25.0,"Quán ăn-Món Việt- Sinh viên, Gia đình, Giới văn phòng",06:00 - 12:00,10.000đ -20.000đ,"8.02 Văn - Cháo Lòng & Bánh HỏiQuán này mình thấy mở cũng lâu rồi nè, chắc là quán đầu tiên khởi xướng bánh hỏi cháo lòng, mở chắc gần 3 năm rồi quá, ở đây ngoài bánh hỏi cháo lòng còn có bún mắm nữa
bánh hỏi mình ăn vs thịt nướng, có thêm bát cháo lòng và rau ăn kèm, thấy giá cũng k, bánh hỏi ngon, thịt nướng ướp vừa miệng
Bún mắm phần ăn cũng nhièu, mình ăn k hết, vì cơ bản mắm vs mình cũng tạm, chứ k ngon lắm, quán cho nem chả nhiều
không gian nhỏ nhỏ, phục vụ nhanh...Xem thêm","9.22 Văn - Cháo Lòng & Bánh HỏiQuán trung tâm nên hay ghé ăn, giá 20k 25k 1 dĩa nè. Anh chủ chịu khó lắm, đợt mới mở ở đâu khúc núi thành, 1 hộp cũng ship. Nay thuê đc chỗ Phan Thanh thấy khách cũng nhiều. Nhất định ủng hộ dài dài...Xem thêm","7.0Lòng ngonMình đặt giao hàng trên foody. Lòng và bánh ngon. Cháo cũng đc. Tuy nhiên nước mắm khá nhạt, có bịch mắm gừng ngon nhưng hơi ít. Giao hàng kiểm tra thì thấy cũng đầy đủ và trang trí ổn. Sẽ ủng hộ nếu có dịp....Xem thêm"
Gong Me - Trà Sữa & Ăn Vặt,https://www.foody.vn/da-nang/gong-me-tra-sua-an-vat,"Đối Diện 201 Phạm Ngọc Mậu, P. An Khê,Quận Thanh Khê,Đà Nẵng",7.4,1.0,Quán ăn,08:00 - 22:00,10.000đ -50.000đ,"7.4Gong Me - Trà Sữa & Ăn VặtTrà sữa nấu ngon, rẻ mà chất lượng. Lần đầu mình mua thử nhưng khá hài lòng. Không quá ngọt, sẽ ủng hộ lần tiếp theo...Xem thêm",Sửacommon_delete...Xem thêm,...Xem thêm
Minh Mập Quán - Nhậu Bình Dân,https://www.foody.vn/da-nang/minh-map-quan-nhau-binh-dan,"849 - 851 Nguyễn Tất Thành, P. Xuân Hà,Quận Thanh Khê,Đà Nẵng",7.2,3.0,"Quán ăn-Món Việt- Gia đình, Nhóm hội",10:00 - 23:00,35.000đ -200.000đ,"7.4Minh Mập QuánQuán khá rộng và đông khách, ngồi rất mát. Tầm 6h30 chiều là quán bắt đầu đông. Quán có không gian ngồi trong nhà và ngoài trời trên vỉa hè. Mình thích ngồi bên ngoài vì thoáng hơn. Mình gọi khoai tây chiên và bò nhúng ớt. Khoái tây chiên ngon, giòn và nhiều, bò nhúng ớt ăn cũng được mà không cay lắm nên không ngon. Giá cả khá bình dân. Quán phục vụ bia Tiger, phục vụ dễ thương và nhiệt tình....Xem thêm","7.2Minh Mập QuánBữa nay quán dê này đông quá trời đông luôn. Bàn ghế thay đổi lên size cao hơn, ngồi cũng ok hơn. Có điều đi trúng lễ nên đông dễ ghét lắm, việc order cũng hơi mệt. Tới lúc 7h mà dồi cũng hết, cái gì cũng hết. Nhân viên thì nhớ nhớ quên quên.
Vú dê 2 lạng tẩm ướp khá thấm, ăn giòn sừn sực đã lắm. Dê hấp thì quá tuyệt vời, thịt thơm mềm, ko hề nghe hôi 1 tý nào luôn. Nhà mình kêu nguyên cái đùi nên ăn xong lóc xí quách um riềng mẻ kiểu giả cầy cũng ngon lắm ấy. Nước um thấm đậm đà, chấm bánh mỳ tuyệt vời....Xem thêm","7.0Minh Mập QuánỞ đây cũng có món gà huyền bí khá ngon. Mâm gà gồm gà chiên mắm, gỏi gà, xôi sinh đôi kèm lòng mề trứng. Đi nhậu chỉ cần một mâm này là đủ phê khỏi cần gọi nhiều:...Xem thêm"
Cao Lầu & Cháo Vịt Đào,https://www.foody.vn/da-nang/cao-lau-chao-vit-dao,"Phan Thanh,Quận Thanh Khê,Đà Nẵng",6.9,3.0,"Quán ăn-Món Việt- Sinh viên, Cặp đôi, Gia đình",14:00 - 22:00,15.000đ -25.000đ,"5.8Cao Lầu & Cháo Vịt ĐàoCao lầu ăn được, nhưng cảm giác vị chưa tới, không đậm đà lắm, giá cả ổn, cô chủ vui vẻ, điểm trừ là quán nhìn ko được sạch, cũ cũ, nhìn ko vệ sinh lắm....Xem thêm","6.2Giá bình dân, rất hợp lýQuán cũng dễ tìm nằm trên đường phan thanh , cô chủ quán cũng khá nhiệt tình , quán cũ đồ ăn cũng ok , cao lầu ngon nhưng giá đỗ nhiều quá ăn cảm giác ko thích lắm , cơm gà cũng ok , cơm gà hơi dính , gà kho sả nhạt có vị không thích lắm , gà quay lát thì chiên giòn , nói chung giá sinh viên ăn cũng được......Xem thêm",8.8Cao lầu ngonCao lầu ở đây mình thấy vị rất ngon. Ở đà nẵng cũng chưa biết được nhiều chỗ có bán cao lầu. Trong những chỗ mình ăn thì vừa ý chỗ này nhất. 20k một tô đầy ắp ^^...Xem thêm
Sâm Bí Đao Hạt Chia Chiki - Lê Độ,https://www.foody.vn/da-nang/sam-bi-dao-hat-chia-chiki-le-do,"163 Lê Độ, P. Chính Gián,Quận Thanh Khê,Đà Nẵng",7.3,3.0,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Cặp đôi, Nhóm hội-Chi nhánh",07:30 - 22:30,10.000đ -20.000đ,"10Sâm Bí Đao Hạt Chia Chiki - Lê ĐộHỒNG TRÀ TẮC KHỔNG LỒ CHILL PHẾT
___
#JNinDaNang
#JNinDaNang_drink
.
👉Fanpage: fb/JenlyNguyen1305
👉Instagram: @JenlyNguyen_fnd
___
✒Lúc đầu đi qua thầy có hồng trà tắc nghe là lạ nên Jenly ghé vào uống thử. Lúc vô mới mắt chữ 0, mồm chữ A là ly siêu to khổng lồ luôn. Jenly ko muốn uống nhiều đá nên kêu người ta cho ít đá thôi nẻn nhìn  ít vậy chứ bình thường là đầu ú ụ àh ☺
✒Về nước thì thơmmm, ngậy, giá siêu yêu lại tốt cho sức khỏe nữa chứ 🤣🤣🤣 
✒Những hôm nắng nóng oder 1 ly đến trường hoặc chỗ làm là đúng chuẩn nè :3
⭐10/10...Xem thêm",9.8Nước ngonTui thích món này hơn trà sữa nhiều. Haha...Xem thêm,2.0Sâm Bí Đao Hạt Chia Chiki - Lê ĐộUống có mùi xà phòng @@...Xem thêm
Mjha - Dừa Dầm Trân Châu,https://www.foody.vn/da-nang/mjha-dua-dam-tran-chau,"170 Lê Độ, P. Chính Gián,Quận Thanh Khê,Đà Nẵng",8.3,2.0,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Cặp đôi, Gia đình, Nhóm hội",09:00 - 21:00,22.000đ -22.000đ,"6.6Dừa dầm đỉnh của đỉnh!!!Ăn mjha nhiều lần rồi mà giờ mới viết cái nhận xét. Nước cốt dừa béo bùi, không ngán, trân châu với thạch ăn dai giòn ngon 👏 Giá một ly cũng ổn, ăn không ngán chút nào, ngoài ra chè khúc bạch cũng ngon.
Sẽ tiếp tục ủng hộ lâu dài....Xem thêm","10Mjha - Dừa Dầm Trân ChâuDừa dầm rất thơm, vừa miệng, nói chung ngon tuyệt cú mèo. Sẽ ủng hộ dài dài 😃...Xem thêm",Sửacommon_delete...Xem thêm
Nờ Cafe & Tea - Cà phê muối- Lê Thị Xuyến,https://www.foody.vn/da-nang/no-cafe-tea-ca-phe-muoi-le-thi-xuyen,"20 Lê Thị Xuyến, P. Chính Gián,Quận Thanh Khê,Đà Nẵng",9.5,7.0,"Café/Dessert-Món Việt- Gia đình, Nhóm hội, Giới văn phòng-Chi nhánh",06:30 - 22:00,5.000đ -35.000đ,"8.6Cf trứng lava siêu ngonQuán có cf trứng nướng ngon, nhân viên thân thiện, ship hàng thiếu mà ship lại tận 2 lần vẫn rất vui vẻ, nhiệt tình...Xem thêm",10Nờ Cafes & TeaLớp Trứng nướng siêu ngon luôn nha quí zị. Vote 10.5 star cho chủ quán ạ...Xem thêm,"9.2Cafe ngon xứt xắcHôm nay trời mưa nên order cafe về uống. Mình order 3 ly, hôm vừa rồi uống cafe dừa rất ngon, hôm nay thử uống cafe muối. Cafe thơm ngon,đậm vị,beo béo..giao hàng lại nhanh. Bị nghiện quán này rồi ❤️❤️...Xem thêm"
Ốc Bà Mỹ 2 - Hoàng Hoa Thám,https://www.foody.vn/da-nang/oc-ba-my-2-hoang-hoa-tham,"47 Hoàng Hoa Thám, P. Tân Chính,Quận Thanh Khê,Đà Nẵng",7.3,51.0,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Gia đình, Nhóm hội",14:30 - 23:00,20.000đ -40.000đ,"7.8Món ăn vặt xế chiềuỐc bà mỹ nay menu đã update nhiều món hơn rồi, lúc trước mình đi ăn là nhớ có ốc hút, ốc bưu thôi. xế chiều thèm đồ ăn vặt nên lên now order 1 phấn mít trộn về ăn. giá hộp này 20k, mình gọi thêm bánh tráng nữa. hộp mít đầy đặn. có mịt, da, rau, đậu phụng, trộn đều ăn ngon ghê. mít trộn này khi ăn bỏ thêm xí ớt nữa sẽ ngon hơn á. mít thấm, ăn có da heo sực sực, đậu phụng giòn thơm 
quán vỉa hè mát mẻ, mở bán từ chiều tới tối luôn, không gian sạch sẽ
đi ngang qua quán thấy mùi ốc thơm lừng í...Xem thêm","6.4Ốc Bà Mỹ 2 - Hoàng Hoa ThámMỗi lần thèm ốc hút lại tới đây, ngon mà rẻ....Xem thêm","3.4quán làm ăn gian dốiTôi đặt đồ ăn trên foody rõ ràng là 4 món 
Mít trộn + Cút lộn kèm bánh mì + ốc hút và ốc móng tay,
Tôi đã hỏi rất rõ với shipper rằng sao ít vậy anh ? Có đủ món không , thì shipper bảo đủ . Ok đủ thì nhận hàng vì bỏ trong túi ni lông rất khó kiểm tra hết.
Shipper đi rồi thì tôi kiểm tra chỉ có 1 túi ốc móng tay kèm vài cọng rau răm với 1 hộp cút lộn ?????
Vậy là sao quán lừa khách ? gọi shipper thì shipper nói quán báo đủ mới giao , ok điểm trừ cho shipper là , mình gọi cho bạn đó bạn đó bảo em bận giao cái khác rồi , anh tự liên lạc quán đi nha ???? Đặt đồ ăn để ăn ngon chứ không phải rước bực tức vào người ....Xem thêm"
Sài Gòn Cay - Nhậu Bình Dân,https://www.foody.vn/da-nang/sai-gon-cay-nhau-binh-dan,"289 Hải Phòng,Quận Thanh Khê,Đà Nẵng",7.0,38.0,"Quán ăn,Quán nhậu-Món Việt- Sinh viên, Nhóm hội, Giới văn phòng",16:00 - 22:30,35.000đ -165.000đ,"10Sài Gòn Cay góc xưa 87 HHT chúng tôi ở ngay đây🥳🥳Chắc ace thời 2013 - 2014 hông còn qua xa lạ với chú chủ quán Càng Ghẹ Cụm Rang Muối Ớt ở ngay góc 87***hồi xưa này rồi nhỉ🥹🥹 Sài Gòn Cay hiện vẫn ở ngay Đà Nẵng mình thôi mng ơi🥳

💃 Ghé đến 289 hải phòng cùng lên mồi - khưi bia set kèo nhậu cùng chú heii 🤣

📍SÀI GÒN CAY - 289 Hải Phòng 📍
⏱️ 𝟭𝟳𝗵𝟬𝟬 - 𝟭𝗵𝟬𝟬 𝙨𝙖́𝙣𝙜 𝙝𝙤̂𝙢 𝙨𝙖𝙪
📳 𝗛𝗼𝘁𝗹𝗶𝗻𝗲 & 𝗗𝗲𝗹𝗶𝘃𝗲𝗿𝘆: 𝟬𝟵𝟬𝟯 𝟱𝟮𝟰 𝟯𝟳𝟮
￼
#CàngGhẹ_CụmMixRangMuốiỚt 
#BắpBòNhúngỚt #LẩuTháiHs #Nghêuhấpthái 
#Quánhậusàigòncay #87HoàngHoaThám -> #487HoàngDiệu -> #39HoàngVănThụ—> #ChuyểnVề_289HảiPhòng 
#Shipvềtậnnơi #nccđànẵng #nhậuthảga_khônglovềgiá...Xem thêm","9.6Càng nghẹ rang muối ngon nhất Đà NẵngGiá hơi chát. Nhưng ăn xong sẽ thấy không đâu làm Càng ghẹ rang muối ngon hơn đây.
Chip chip hấp thái cũng khá đậm đà.
Quán này đổi chỗ bán cũng 3,4 lần gì đó rồi nên chắc nhiều bạn không biết. Nay quán ở 415 Hải Phòng rồi nha. 
Anh chủ/ anh phục vụ nhiệt tình dễ thương.
Quán mới qua đây nên khách chưa biết, quán khá vắng. Đồ ăn thì vẫn ngon nhé....Xem thêm","8.2Sài gòn cayGiá khá mắc, không giống nhậu bình dân:)). Càng ghẹ muối ướt ngon, sứa trộn không ngon, ít sứa toàn rau với hành, trứng nướng bình thường, phục vụ không tốt lắm, gọi vài lần mới tới, thấy lơ là với khách quá, phục vụ nên vui vẻ khách mới lưu tâm để tới lại...Xem thêm"
Tiệm Trà Lemoon - Trà Chanh - Phan Thanh,https://www.foody.vn/da-nang/tiem-tra-lemoon-tra-chanh-phan-thanh,"2 Phan Thanh,Quận Thanh Khê,Đà Nẵng",9.6,5.0,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Cặp đôi, Gia đình, Nhóm hội",09:00 - 22:00,4.000đ -30.000đ,"9.2NgonnnnnTrà chanh, trà tắc ngon số dách. Giá rẻ lại còn vệ sinh nữa chứ....Xem thêm","10Tiệm Trà Lemoon - Trà Chanh - Phan Thanhngon như lời đồn, gần nhà nữa :v chuẩn bị đóng hụi cho quán 🤣🤣...Xem thêm","9.6BEST TRÀ CHANH 😍Sáng làm ly trà chanh, chiều đi biển về làm ly chanh sả, tối dạo phố lại làm ly trà tắc. Nhiều khi ước anh chủ quán làm thẻ thành viên tích điểm cho mình mà nghĩ lại anh bán ly nước lời có vài ngàn còn tích điểm nữa cũng thương 😅😅 Ở đây món nào cũng ngon cả, vị chua ngọt dịu dàng, nhẹ nhàng quyện vào nhau chứ ko phải kiểu ngọt gắt càng uống càng khát mà mình cảm tưởng đang uống trà đường chứ không trà chanh như nhiều chỗ mình đã từng thử qua. Đã vậy quán còn có trân châu trắng mà mình thích, nên món gì mình cũng order thêm topping trân châu trắng đi kèm, uống 1 ngụm có cả trân châu nhai sực sực đã gì đâu. Vote 5 sao nhiệt tình cho quán :D...Xem thêm"
Tiệm Sữa Đậu & Bánh Mì - Quỳnh Trúc,https://www.foody.vn/da-nang/tiem-sua-dau-banh-mi-quynh-truc,"304/223/6B Nguyễn Phước Nguyên, P. An Khê,Quận Thanh Khê,Đà Nẵng",8.6,1.0,"Quán ăn-Món Việt- Cặp đôi, Gia đình, Nhóm hội-Chi nhánh",07:00 - 18:00,,8.6Quán Ăn Quỳnh Trúc - Bánh Mì & Nước ÉpSiêu ngon lại rẻ...Xem thêm,Sửacommon_delete...Xem thêm,...Xem thêm
Hai Trí - Nhà Hàng Sân Vườn,https://www.foody.vn/da-nang/hai-tri-nha-hang-san-vuon,"702 Điện Biên Phủ,Quận Thanh Khê,Đà Nẵng",6.2,2.0,"Nhà hàng-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",09:00 - 22:30,35.000đ -250.000đ,"7.6Không gian thoáng mátHôm qua mới đi sinh nhật bạn tại quán này, quán khá nổi tiếng ngay chân cầu vượt Ngã Ba Huế. Không gian rộng rãi thoáng mát ngay bàu Trảng, buổi trưa nắng hoặc chiều ngồi có gió rất mát.
Món ăn thì tạm ổn, chủ yếu là các món nhậu, quán nổi tiếng với món heo sữa quay, gà vịt, cá chạch quế nướng...
Dịch vụ và nhân viên tạm ổn, quán không đông khách lắm nên phục vụ nhanh.
Về phần giá cả thì cũng tương đối rẻ, mình đi 6 người ăn uống thoải mái hết hơn 1 triệu....Xem thêm","4.8Nhà hàng sân vườn Hai TríHai Trí nằm gần Ngã ba Huế, nằm cạnh một hồ nước nên rất thoáng mát. Là nhà hàng sân vườn cũng không quá đông khách nên cũng không ồn ào. Mình vào buổi tối nên cũng không quan sát rõ lắm không gian quán nhưng nhìn chung cũng sạch sẽ, thoáng mát. Đồ ăn ở đây khá đa dạng nhưng thực sự mình không thấy ngon cho lắm, đa phần các món đều mặn nhưng cũng ăn tạm được. Bên mình đến cũng khá đông, đến hơi trễ nhưng đã đặt từ trước nên thức ăn lên nhanh. Mấy bạn nhân viên ở đây cũng nhiệt tình tuy nhiên ý thức phục vụ thì hơi tệ, điều làm mình không thích là quán đã nhận đặt tiệc muộn rồi thì phải chấp nhận. Mình thấy quán cứ như muốn đuổi bàn mình về, bạn nhân viên thì cứ ra hối trả tiền trong khi bàn mình đang kiểm tra hoá đơn làm khách như mình rất bực đâu phải không trả đâu mà chưa kịp đưa là lại ra hối bằng cái giọng rất khó chịu....Xem thêm",Sửacommon_delete...Xem thêm
Chè 129,https://www.foody.vn/da-nang/che-129,"129 Phan Thanh, P. Thạc Gián,Quận Thanh Khê,Đà Nẵng",8.4,4.0,"Ăn vặt/vỉa hè-Tây Bắc,Hà Nội,Nam Định- Sinh viên, Gia đình",09:00 - 13:00,6.000đ -6.000đ,"9.4Chè 129Chè ngon, không quá ngọt. Mình mua 2 bịch đem về 6k 1 bịch thôi mà làm đầy ly to...Xem thêm","8.4Quán chè ngon-bổ-rẻHọc duy tân nên dường như là khách ruột ở đây. Cô bán chè ngon, rẻ, khá đông khách nhưng luôn có thái độ thân thiện, chỉ 6k/ly thôi. Rất thích hợp để giải nhiệt mùa hè. Chỗ cô bán khá nhỏ nên ăn tai chỗ thì phảu ăn nhanh tí, thích hợp mua mang về thôi...Xem thêm",7.6chè 129Ăn chè cũng nhiều chỗ nhưng vẫn thích ở đây nhất . Chỉ 6k 1 ly thôi mà ngon lắm . Có đủ loại chè các kiểu . Nước cốt dừa của cô béo béo thơm thơm ngon 🤤🤤🤤...Xem thêm
Chói's Kitchen - Món Ăn Hàn Quốc - Hoàng Hoa Thám,https://www.foody.vn/da-nang/choi-s-kitchen,"2 Hoàng Hoa Thám, P. Tân Chính,Quận Thanh Khê,Đà Nẵng",7.0,391.0,"Quán ăn-Món Hàn- Cặp đôi, Gia đình, Giới văn phòng-Chi nhánh",10:00 - 13:30,25.000đ -30.000đ,5.0Chói's Kitchen - Món Ăn Hàn Quốc -***món ăn ngon rất tuyệt với...Xem thêm,"2.6tệquán không cbi đũa cho khách , pv lâu , đồ ăn mặn …....Xem thêm","9.6Chất lượng đồ ăn và dịch vụ rất rất tốt!Thức ăn ngon, packing siêu sạch sẽ và lịch sự, các bạn nhân viên rất nhiệt tình và cung cấp dịch vụ rất nhanh và kịp thời, trên các nền tảng online lẫn phục vụ offline tại quán. 
Công ty mình đặt đồ ăn về văn phòng, các bạn ấy rất chu đáo tách riêng đơn của từng người và ghi chú tên người đặt rất đáng yêu bên ngoài để dễ phân biệt.
Không tiếc gì 1 chiếc review 6 sao cho quán nè!
Amazing, good job, well done!!...Xem thêm"
Hẻm 34 - Cháo Quẩy & Ăn Vặt - Kỳ Đồng,https://www.foody.vn/da-nang/hem-34-chao-quay-an-vat-ky-dong,"234 Kỳ Đồng, P. Thanh Khê Đông,Quận Thanh Khê,Đà Nẵng",10.0,1.0,Quán ăn-Chi nhánh,14:30 - 22:00,10.000đ -30.000đ,10Hẻm 34 - Cháo Quẩy & Ăn Vặt - Kỳ ĐồngNgonnnn...Xem thêm,Sửacommon_delete...Xem thêm,...Xem thêm
Na's Crush - Ở Đây Có Món Ngon,https://www.foody.vn/da-nang/na-s-crush-o-day-co-mon-ngon,"22 Hoàng Hoa Thám, P. Tân Chính,Quận Thanh Khê,Đà Nẵng",9.4,2.0,"Quán ăn-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",09:00 - 21:00,40.000đ -70.000đ,"9.0Na's Crush - Ở Đây Có Món NgonLần đầu tiên ăn thử thạch dừa rim thơm vì thấy lạ lạ. Và đánh giá là rất ngon, thạch dai dai sực sực, kèm thơm ngon ngọt, vừa đủ vị ăn ko bị ngán. Lại được bạn chủ có tâm chỉ cách ăn ngon....Xem thêm","9.8Thạch dừa rim ngon!Bữa thấy trên sân cầu lông Lê Duẩn có người đem lên mấy hộp ăn chung cả hội, thấy ngon nên cũng mua về 1 hộp ăn thử. Shop này bán cùng nhà với shop cầu lông Bi Badminton nên tiện thể tới đan vợt rồi mua luôn. Thạch không quá ngọt, vị chanh dây đậm và thạch dai nhưng không bị bã. Đi đánh cầu lông về đập đá làm 1 ly đúng đã! Sẽ thử thơm và rắc xí muội....Xem thêm",Sửacommon_delete...Xem thêm
Ốc Và Lẩu 62,https://www.foody.vn/da-nang/oc-va-lau-62,"126 Hàm Nghi, P. Thạc Gián,Quận Thanh Khê,Đà Nẵng",9.8,2.0,Quán ăn-Món Việt,08:00 - 22:00,50.000đ -120.000đ,"9.6Đi ăn như đi siêu thịỐc bự chà bá , có sốt trứng muối, sốt phô mai béo ngậy, món này thích hợp cho mấy bánh bèo không ăn cay được, mình không ăn cay được anh nhân viên nhiệt tình nen chọn ốc hương trứng muối , cà na phô mai,có kèm cả bánh mì nướng nên mình chà sạch dĩa rồi nên k chụp hình, có khu lẫu tự chọn tha hồ mà chọn, điểm trừ là quán lớn mà có 1 tolet à...Xem thêm","10Giá rẻ - ốc và lẩu ngonQuán có rất nhiều món để lựa chọn
Lẩu, ốc đa dạng và thêm các loại hải sản nữa
Ốc ở đây giá rẻ nhưng ốc rất to và ngon
Cách chế biến đa dạng hơn các chỗ khác...Xem thêm",Sửacommon_delete...Xem thêm
Bà Đào - Nhậu Bình Dân,https://www.foody.vn/da-nang/ba-dao-nhau-binh-dan,"02 Bế Văn Đàn,Quận Thanh Khê,Đà Nẵng",7.0,1.0,"Quán nhậu-Món Miền Trung- Cặp đôi, Gia đình, Nhóm hội",19:00 - 23:30,20.000đ -60.000đ,7.0Món ăn ở đây thật tuyệtLần đầu tiên đến đây nhìn cảnh quán rất đẹp nhưng nhân viên phục vụ hơi lâu nhưng thấy đồ ăn cũng đc chưa thấy gì là ok cả...Xem thêm,Sửacommon_delete...Xem thêm,...Xem thêm
